,userId,Reputation,Views,UpVotes,DownVotes
0,-1,1,0,5007,1920
1,2,101,25,3,0
2,3,101,22,19,0
3,4,101,11,0,0
4,5,6792,1145,662,5
5,6,457,114,47,0
6,7,429,56,20,0
7,8,6764,1089,604,25
8,10,121,20,2,0
9,11,136,10,10,0
10,12,101,10,5,0
11,13,817,178,44,1
12,15,11,8,0,0
13,16,101,4,7,0
14,17,345,14,13,1
15,18,128,8,16,0
16,19,101,13,2,0
17,21,101,6,0,0
18,22,591,90,693,6
19,23,308,52,34,1
20,24,344,48,36,1
21,25,4968,641,328,23
22,26,3150,257,138,7
23,27,101,10,2,0
24,29,2250,318,28,1
25,30,2185,312,40,3
26,33,221,11,2,0
27,34,185,27,23,0
28,35,101,4,9,0
29,36,1570,173,26,1
30,37,156,2,0,0
31,38,133,15,1,0
32,39,1651,255,12,0
33,40,41,8,2,0
34,41,611,83,12,0
35,43,101,1,1,1
36,46,111,350,59,15
37,47,1,19,0,0
38,50,101,3,3,0
39,51,101,0,1,0
40,52,861,62,12,0
41,53,138,8,7,0
42,54,360,18,21,2
43,55,366,16,48,1
44,56,563,64,10,0
45,57,126,7,93,0
46,58,123,19,3,0
47,59,402,82,51,0
48,60,101,8,1,1
49,61,1956,147,39,4
50,62,549,90,13,3
51,64,136,11,4,0
52,65,101,8,4,0
53,66,614,102,12,0
54,67,101,4,0,0
55,68,503,42,10,0
56,69,530,174,630,6
57,71,1936,328,2317,1
58,72,800,77,58,0
59,74,2316,1126,74,65
60,75,321,44,4,0
61,76,101,3,9,0
62,77,260,8,36,0
63,78,123,4,4,0
64,79,212,10,5,0
65,80,211,16,7,0
66,81,1307,80,86,0
67,82,685,49,68,0
68,83,804,64,11,0
69,84,101,3,10,0
70,85,176,25,3,0
71,87,740,89,58,2
72,88,14082,3320,4235,126
73,89,1281,105,61,4
74,90,561,287,27,0
75,91,101,8,0,0
76,92,31,5,3,0
77,93,96,3,2,0
78,94,111,15,6,0
79,96,441,80,18,0
80,98,291,24,141,1
81,99,151,42,3,0
82,101,502,49,109,0
83,102,101,5,4,0
84,103,261,34,41,1
85,104,146,26,23,0
86,105,101,0,0,0
87,107,160,14,20,3
88,108,305,171,4,0
89,110,443,59,9,1
90,111,101,2,1,0
91,112,101,0,0,0
92,113,101,0,0,0
93,114,708,61,44,1
94,115,101,8,0,0
95,116,101,2,9,0
96,117,123,4,1,0
97,118,473,60,46,0
98,119,139,12,0,0
99,120,101,3,1,0
100,121,101,4,3,0
101,122,101,8,0,0
102,123,101,56,21,0
103,124,121,8,8,0
104,125,391,31,0,0
105,126,101,1,0,0
106,127,236,46,29,1
107,128,166,19,22,0
108,129,101,8,9,0
109,130,241,24,2,0
110,131,216,14,6,0
111,132,33,8,2,0
112,133,116,6,2,1
113,134,101,0,1,1
114,135,101,1,2,0
115,138,231,24,20,0
116,139,758,241,41,0
117,140,1,4,4,0
118,141,101,0,0,0
119,142,185,19,10,0
120,143,101,1,0,0
121,144,1396,269,477,1
122,145,99,8,4,0
123,147,101,1,0,0
124,148,228,11,12,0
125,151,101,9,0,0
126,152,101,1,0,0
127,153,101,3,0,0
128,154,321,23,6,0
129,155,101,1,2,0
130,156,101,0,0,0
131,158,111,2,15,0
132,159,18283,3781,1014,59
133,160,101,2,0,0
134,161,101,1,8,0
135,162,101,2,1,0
136,163,276,12,1,0
137,164,101,3,2,0
138,165,36,2,1,0
139,166,118,3,7,0
140,167,101,21,0,0
141,168,147,61,8,1
142,169,113,19,5,0
143,170,208,52,48,1
144,171,171,9,0,0
145,172,564,113,15,0
146,173,453,39,15,0
147,174,792,78,163,4
148,175,236,46,53,0
149,176,101,0,0,0
150,177,101,0,0,0
151,178,11,2,8,0
152,179,1416,147,352,10
153,180,101,0,0,0
154,181,101,6,60,0
155,183,22625,4069,2496,45
156,184,101,3,3,0
157,186,101,1,1,0
158,187,446,69,6,0
159,188,211,19,2,0
160,189,205,17,0,0
161,190,1166,146,482,24
162,191,313,16,8,0
163,193,101,0,1,0
164,194,38,7,4,0
165,195,101,7,0,0
166,196,6140,649,497,114
167,197,138,5,21,1
168,198,908,42,69,0
169,199,1815,188,149,3
170,200,128,24,9,0
171,202,101,3,0,0
172,203,101,1,1,0
173,204,101,0,4,0
174,206,101,0,2,0
175,207,101,4,0,0
176,210,337,47,32,1
177,211,586,11,0,0
178,212,101,1,11,1
179,213,63,9,1,0
180,214,266,31,29,0
181,215,2496,384,5,0
182,216,31,4,0,0
183,217,522,111,16,1
184,218,121,9,12,0
185,219,184,119,2,0
186,220,248,34,11,0
187,221,615,77,95,0
188,222,101,3,3,0
189,223,4022,1471,345,19
190,225,101,6,0,0
191,226,1293,266,55,0
192,227,226,4,71,0
193,228,121,4,9,0
194,229,629,64,65,0
195,230,1233,106,170,2
196,232,101,0,4,0
197,233,101,3,4,0
198,235,101,5,0,0
199,236,221,9,8,0
200,239,101,66,3,0
201,240,281,31,8,0
202,241,101,0,0,0
203,246,101,9,0,1
204,247,898,104,82,3
205,248,101,0,1,0
206,250,131,6,9,0
207,251,7931,984,819,0
208,252,315,40,8,0
209,253,5309,1147,1160,5
210,254,101,0,3,0
211,255,195,11,32,0
212,256,171,6,2,0
213,257,121,2,2,0
214,258,101,1,9,0
215,259,138,6,3,0
216,260,526,24,2,0
217,261,442,84,30,2
218,263,101,4,0,0
219,264,4701,839,1408,55
220,266,1272,335,108,1
221,267,91,17,4,0
222,268,101,4,1,0
223,270,229,25,4,0
224,273,1384,87,17,0
225,275,101,0,0,0
226,276,201,17,10,0
227,277,131,22,1,0
228,278,101,7,0,0
229,279,6176,374,578,8
230,280,101,1,27,0
231,281,101,1,0,0
232,282,101,7,2,0
233,283,118,5,23,0
234,284,190,10,191,0
235,285,223,6,3,0
236,287,847,73,19,0
237,288,86,3,9,0
238,290,129,127,8,4
239,291,251,17,51,0
240,292,138,13,15,4
241,293,101,0,0,0
242,297,103,2,17,0
243,298,111,6,2,0
244,300,524,44,223,0
245,301,155,6,6,1
246,302,246,36,17,1
247,303,238,140,1,1
248,305,118,24,4,0
249,307,4829,1088,692,3
250,308,101,3,0,0
251,310,101,0,0,0
252,311,101,1,0,0
253,314,101,1,0,0
254,315,611,49,2,0
255,316,101,0,0,0
256,317,81,24,0,0
257,319,1994,523,62,0
258,320,101,0,3,0
259,322,101,0,0,0
260,325,101,1,0,0
261,326,101,5,5,0
262,327,303,36,0,0
263,329,101,1,0,0
264,330,101,1,0,0
265,333,1233,104,75,4
266,334,5134,842,58,9
267,335,101,0,4,0
268,338,126,2,0,0
269,339,3039,363,125,0
270,340,101,4,0,0
271,344,101,0,0,0
272,346,101,0,4,0
273,347,101,0,0,0
274,350,101,1,2,0
275,351,101,8,1,0
276,352,793,99,236,2
277,353,101,6,2,0
278,354,101,1,3,0
279,357,101,0,3,0
280,358,51,4,12,0
281,360,101,1,0,0
282,362,101,0,0,1
283,364,5442,671,115,2
284,365,101,1,2,0
285,366,21,14,0,0
286,367,111,0,0,0
287,368,369,18,5,0
288,369,29,1,0,0
289,371,101,1,0,0
290,373,101,1,13,0
291,374,101,1,0,0
292,375,529,46,9,0
293,377,101,2,0,0
294,378,316,6,2,0
295,380,101,2,4,0
296,381,101,0,1,0
297,382,101,0,0,0
298,383,101,1,3,0
299,384,101,0,0,0
300,385,101,0,0,0
301,386,891,185,55,0
302,389,101,0,7,0
303,390,101,0,0,0
304,391,101,2,1,0
305,392,101,2,1,0
306,393,101,1,0,0
307,394,33,5,0,0
308,395,101,0,7,0
309,396,101,2,0,0
310,397,101,7,2,0
311,398,101,4,1,0
312,399,101,0,0,0
313,400,213,14,0,0
314,401,6906,1070,394,6
315,402,61,2,0,0
316,406,101,2,0,0
317,407,101,2,0,0
318,408,101,1,0,0
319,410,123,5,21,0
320,411,101,1,2,0
321,412,101,1,8,0
322,413,101,0,26,0
323,414,106,4,1,0
324,417,101,1,1,0
325,419,379,25,7,0
326,420,101,4,244,0
327,422,111,1,7,0
328,424,101,1,0,0
329,426,101,1,0,0
330,427,38,10,17,0
331,428,126,1,0,0
332,431,71,28,1,0
333,432,101,1,0,0
334,434,111,7,54,0
335,435,101,1,0,0
336,436,101,0,0,0
337,438,2133,272,28,1
338,439,2031,268,152,1
339,440,101,0,0,0
340,441,101,0,0,0
341,442,6431,973,857,21
342,443,11,1,0,0
343,444,101,0,0,0
344,445,152,10,32,0
345,446,118,8,12,0
346,447,1422,173,20,0
347,449,12813,1089,1607,57
348,452,111,1,3,0
349,453,131,1,0,0
350,455,378,24,26,0
351,456,101,1,0,0
352,457,101,0,0,0
353,458,101,0,0,0
354,460,148,5,4,0
355,461,101,2,13,0
356,462,101,0,0,0
357,463,141,11,11,0
358,465,101,1,0,0
359,467,101,3,3,0
360,468,141,1,2,0
361,469,101,0,1,0
362,472,101,0,0,0
363,474,22,12,0,0
364,475,101,1,0,0
365,476,208,7,0,1
366,478,300,29,13,0
367,480,113,4,0,0
368,481,31,4,0,0
369,482,61,9,0,0
370,483,101,1,0,0
371,485,2908,265,444,11
372,486,101,0,46,0
373,488,109,7,2,0
374,490,1,1,0,0
375,491,46,3,0,0
376,492,1,6,0,0
377,493,909,96,87,4
378,494,11,9,0,0
379,495,2092,272,32,4
380,498,19,1,0,0
381,500,104,2,0,0
382,501,300,20,9,0
383,503,108,8,1,0
384,504,101,3,1,0
385,506,223,29,14,0
386,509,139,90,24,2
387,510,101,1,0,0
388,511,1796,516,33,4
389,512,101,1,0,0
390,513,16,5,0,0
391,516,157,11,3,0
392,517,101,0,0,0
393,520,268,42,9,0
394,521,2133,205,65,0
395,522,101,1,0,0
396,523,326,32,10,0
397,524,101,1,0,0
398,526,1,1,0,0
399,527,125,6,61,0
400,528,148,22,1,0
401,529,118,40,61,0
402,530,599,77,2,0
403,531,19,7,0,0
404,536,101,1,0,0
405,539,279,31,14,0
406,541,141,9,0,0
407,542,101,1,0,0
408,543,101,0,0,0
409,546,138,11,1,0
410,547,101,10,0,0
411,549,286,39,5,0
412,553,101,4,0,0
413,555,101,2,0,0
414,556,113,22,33,0
415,557,1273,142,58,0
416,558,101,1,0,0
417,559,485,44,9,0
418,560,104,6,0,0
419,561,2002,186,155,11
420,562,173,21,6,0
421,563,101,0,0,0
422,564,101,0,0,0
423,565,125,32,22,0
424,566,11,37,17,0
425,569,307,46,43,0
426,572,161,19,2,0
427,573,365,40,260,0
428,575,101,3,0,0
429,577,101,0,0,0
430,578,65,14,7,0
431,582,2400,293,692,23
432,583,101,0,0,0
433,586,101,0,1,0
434,588,1034,185,38,0
435,589,58,11,4,0
436,590,101,1,0,0
437,591,101,1,0,0
438,593,108,0,3,0
439,594,101,1,0,0
440,595,146,25,57,0
441,596,101,2,0,0
442,597,232,12,178,2
443,600,165,4,33,0
